Channel,MPH Code,PH Gender,Count of Policy/COI Number,Average of PH Entry Age,Average of Policy Term_Month,Sum of Premium,Sum of Sum Assured,Sum of Claim Amount,Count of Claims
SVOJBK0001,HSMFMPH063,Female,190,37.98,18,49410,7320000,,
SVOJBK0001,HSMFMPH063,Male,22,41.14,18,5771.25,855000,,
SVOJBK0001,HSUGMPH042,Female,294,36.9,18.08,86636.4,13380000,50000,1
SVOJBK0001,VINAMPH011,Female,472,38.41,18.15,158743.17,34239060,40630,1
SVOJBK0001,VINAMPH011,Male,474,39.31,18.16,159529.63,34373730,,
SVOJBK0001,VERYMPH082,Female,1042,39.77,18.24,272345.5,35332400,60000,2
SVOJBK0001,SRLFMPH075,Male,117,36.4,18.27,32214.26,4487000,,
SVOJBK0001,HSFIMPH041,Male,4714,36.56,18.46,1867641.44,320943650,50000,1
SVOJBK0001,HSFIMPH041,Female,10137,37.39,18.75,2858690.66,499090122,,
SVOJBK0001,SHREMPH288,Male,7,42.57,18.86,1016.5,110000,,
SVOJBK0001,RURAMPH038,Male,171,41.34,19.04,79255,10134174,,
SVOJBK0001,KIARMPH001,Female,17036,38.49,19.43,3077125.72,688155359,620000,18
SVOJBK0001,KIARMPH001,Male,14685,39.31,19.46,2656052.42,593505359,1590000,39
SVOJBK0001,RURAMPH038,Female,285,40.07,19.72,130175.38,16041583,,
CREDDS0001,SHRIMPH058,Female,9,42.56,20,8166.92,736510,,
SVOJBK0001,SHREMPH288,Female,6,44.67,20,963,100000,,
SVOJBK0001,BHARMPH005,Female,20,41.95,20.45,19971,3050000,,
SVOJBK0001,HSUGMPH042,Male,9,35,20.67,4739.8,610000,,
SVOJBK0001,ATMAMPH049,Female,424,40.54,20.8,152961.5,18535000,60000,1
SVOJBK0001,VERYMPH082,Male,38,35.66,21,26250,2780000,,
FINHBK0004,VARDMPH057,Male,740,34.6,21.42,678458.54,65515300,,
SVOJBK0001,BHARMPH005,Male,14,40.71,21.5,15845,2350000,,
FINHBK0004,MRUDMPH251,Male,6,35.5,22,4050.8,425000,,
SVOJBK0001,PLANMPH261,Female,24,44.88,22,12870,1490000,,
SVOJBK0001,PLANMPH261,Male,24,43.92,22,12870,1490000,,
SVOJBK0001,HPJCMPH034,Male,258,36.12,22.08,148183.88,20421604,,
FINHBK0004,MAXIMPH247,Female,160,35.53,22.43,208132,11095000,,
SVOJBK0001,HPJCMPH034,Female,184,36.57,22.47,88617.33,13089769,,
SVOJBK0001,HWESMPH199,Male,25,37.04,22.56,31070,3300000,,
SVOJBK0001,HINDMPH107,Female,235,40.87,22.72,89362.85,10595000,,
FINHBK0004,MAXIMPH247,Male,21,41.86,22.86,30889.25,1620000,,
SVOJBK0001,HINDMPH107,Male,141,41.91,22.94,54927.85,6415000,,
SVOJBK0001,FRUIMPH149,Male,18,38.72,23,12601.6,1477000,,
